descricao_transacao,valor_transacao,categoria
Compra online - Burger King (compra à vista),829.09,Alimentação
Transação - Renner (parcelado em 4x),232.37,Compras
Consumo em CDB Banco Inter (compra à vista),910.31,Investimentos
Débito - Decolar.com,421.92,Lazer
Pagamento de conta - Açougue Central,450.77,Alimentação
Compra em Hospital Santa Casa,1309.72,Saúde
Débito - Correios (uso pessoal),459.07,Serviços
Débito - C&C Casa e Construção (loja shopping),3992.34,Moradia
Despesa - Uber (via cartão),48.99,Transporte
Despesa - Metrô (unidade centro),281.45,Transporte
Compra online - Bilhete Único (unidade próxima),193.08,Transporte
Pagamento de fatura - Açougue Boi Gordo (pedido via app),874.39,Alimentação
Despesa - Kinoplex (parcelado em 5x),1461.28,Lazer
PLR - Participação nos Lucros,289.64,Receitas
Pagamento de salário - Novembro,9002.73,Receitas
Compra em Borracharia Central (compra do mês),285.38,Transporte
Recebimento de freelance,3157.88,Receitas
Pagamento - Comgás (uso pessoal),1089.76,Moradia
Pagamento de fatura - Ingresso.com - Show (parcelado em 4x),412.17,Lazer
Pagamento - C&A (loja shopping),435.86,Compras
Assinatura mensal - Microsoft 365,460.01,Serviços
Compra online - Auto Center Roda Viva (loja shopping),476.68,Transporte
Consumo em Ônibus Urbano (compra à vista),174.94,Transporte
Débito - Boteco da Esquina (compra do mês),840.16,Lazer
Depósito de salário,9034.29,Receitas
Pagamento - Borracharia Central (compra do mês),134.49,Transporte
Pagamento de conta - Droga Raia (pedido via app),1817.99,Saúde
Transação - Hospital São Lucas (via cartão),1237.54,Saúde
Assinatura mensal - Amazon Prime Video (plano mensal),18.26,Lazer
Compra em Assaí (pedido via app),897.19,Alimentação
Pagamento de fatura - Leroy Merlin (uso pessoal),2382.79,Moradia
Consumo em Boteco da Esquina,1091.83,Lazer
Pagamento de décimo terceiro salário,7718.44,Receitas
Pagamento - Imposto de Renda - DARF (compra à vista),2787.53,Impostos
Despesa - Fast Shop (compra à vista),1487.9,Compras
Assinatura mensal - Bio Ritmo (fatura do mês),178.0,Saúde
Pagamento de conta - Habib's (pedido via app),170.56,Alimentação
Compra online - Uber (unidade próxima),63.35,Transporte
Pagamento - Dia Supermercados (via cartão),449.81,Alimentação
Compra online - Restaurante Prato Feito,308.08,Alimentação
Pagamento - Burger King (loja shopping),759.68,Alimentação
Pagamento de salário - Julho,9668.11,Receitas
Transação - Ultragaz (loja shopping),2770.35,Moradia
Pagamento de conta - Magazine Luiza (unidade centro),359.45,Compras
Pagamento de salário - Agosto,1810.62,Receitas
Despesa - CPFL Energia (pedido via app),1881.64,Moradia
Compra em Renner (compra à vista),1314.28,Compras
Pagamento de fatura - Padaria e Confeitaria Doce Vida (pedido via app),201.69,Alimentação
Despesa - Pub Cervejaria Artesanal,1147.46,Lazer
Despesa - IPTU,3310.95,Impostos
Pagamento de conta - iFood (uso pessoal),845.29,Alimentação
Pagamento de fatura - Presente Aniversário (pedido via app),757.38,Outros
Despesa - UCI Cinemas (pedido via app),736.51,Lazer
Débito - Coursera (loja shopping),2764.8,Educação
Pagamento - AliExpress (uso pessoal),410.02,Compras
Pagamento - Embasa (uso pessoal),4580.12,Moradia
Transação - Hospital São Lucas (loja shopping),61.55,Saúde
Pagamento - Kabum (compra à vista),146.35,Compras
Rendimento de investimento - CDB,773.31,Receitas
Venda online - Marketplace,1951.78,Receitas
Compra online - Magazine Luiza (compra do mês),1386.37,Compras
Compra em Sushi House (compra à vista),63.64,Alimentação
Transação - Udemy,1943.96,Educação
Débito automático - Smart Fit (renovação do plano),133.01,Saúde
Débito - Oficina Mecânica Silva (unidade próxima),17.13,Transporte
Restituição de Imposto de Renda,1976.06,Receitas
Cobrança recorrente - Spotify (renovação do plano),40.11,Lazer
Depósito de salário,1774.39,Receitas
Débito - Cinemark (unidade próxima),1439.84,Lazer
Pagamento - C&A (via cartão),2158.83,Compras
Transação - Boteco da Esquina (unidade centro),1015.78,Lazer
Transação - Correios (unidade centro),396.68,Serviços
Despesa - Starbucks (uso pessoal),521.34,Alimentação
Compra online - Uber (unidade centro),14.56,Transporte
Pagamento de fatura - Dia Supermercados (compra do mês),798.15,Alimentação
Débito - Ingresso.com - Show (parcelado em 12x),1535.77,Lazer
Assinatura mensal - Unimed (via cartão cadastrado),154.0,Saúde
Pagamento de fatura - Centauro (via cartão),427.75,Compras
Débito - Ipiranga (compra à vista),424.25,Transporte
Pagamento de conta - Droga Raia (compra à vista),1479.47,Saúde
Despesa - Fast Shop (loja shopping),1441.23,Compras
Débito - Vivo Fibra (unidade próxima),3580.14,Moradia
Despesa - Atacadão (uso pessoal),851.45,Alimentação
Cobrança recorrente - Amil (cobrança automática),1624.95,Saúde
Compra online - AliExpress (compra à vista),745.49,Compras
Compra em C&C Casa e Construção (via cartão),2372.2,Moradia
Serviço prestado - Salão de Beleza Charme,260.32,Serviços
Depósito de salário,7972.94,Receitas
Despesa - Clínica Médica Bem Estar (uso pessoal),711.26,Saúde
Serviço prestado - Kinoplex (pedido via app),1261.62,Lazer
Recebimento por venda,2717.78,Receitas
Consumo em Salão de Beleza Charme (unidade próxima),446.36,Serviços
Compra online - Aluguel Residencial (unidade centro),2928.04,Moradia
Pagamento de fatura - Açougue Boi Gordo (uso pessoal),828.58,Alimentação
Consumo em Auto Center Roda Viva (unidade próxima),157.27,Transporte
Compra em Aluguel Residencial (loja shopping),5962.67,Moradia
Consumo em Telhanorte (unidade centro),4208.46,Moradia
Transação - Salão de Beleza Charme (compra do mês),196.66,Serviços
Compra online - Fast Shop (via cartão),413.76,Compras
Pagamento de salário - Dezembro,7479.87,Receitas
Serviço prestado - Cafeteria do Bairro (loja shopping),644.34,Alimentação
Compra online - Correios (uso pessoal),212.19,Serviços
Assinatura mensal - SulAmérica Seguros,424.87,Serviços
Compra online - Padaria Pão Quente (uso pessoal),885.69,Alimentação
Assinatura mensal - SulAmérica Seguros (via cartão cadastrado),346.94,Serviços
Aluguel recebido - imóvel próprio,1873.16,Receitas
Pagamento de conta - Telhanorte (pedido via app),564.17,Moradia
Compra online - Latam Viagens (via cartão),699.14,Lazer
Mensalidade - Oi (plano mensal),73.49,Serviços
Pagamento de salário - Fevereiro,8042.35,Receitas
Pagamento de salário - Fevereiro,7696.97,Receitas
Pagamento de fatura - AliExpress (pedido via app),1000.17,Compras
PLR - Participação nos Lucros,6712.96,Receitas
Serviço prestado - Cafeteria do Bairro,209.7,Alimentação
Débito - CPFL Energia (loja shopping),3520.65,Moradia
Dividendos - Ações B3,507.67,Receitas
Débito - Casas Bahia (unidade próxima),1962.57,Compras
Pagamento - Churrascaria Boi na Brasa (via cartão),67.11,Alimentação
Despesa - Magazine Luiza (compra à vista),736.99,Compras
Despesa - Subway,330.57,Alimentação
Transação - Correios,428.37,Serviços
Débito automático - Bio Ritmo,150.17,Saúde
Consumo em Copasa (loja shopping),824.84,Moradia
Compra online - Coffee Lab (compra do mês),521.71,Alimentação
Compra em Coffee Lab (loja shopping),604.64,Alimentação
Consumo em Consultório Dentário Dr. Souza,994.89,Saúde
Despesa - Bar do Zé (via cartão),301.9,Lazer
Rendimento de investimento - CDB,2703.68,Receitas
Despesa - Latam Viagens (unidade próxima),1239.65,Lazer
Serviço prestado - Atacadão,456.4,Alimentação
Serviço prestado - Hospital São Lucas (pedido via app),504.75,Saúde
Compra em Doação ONG (via cartão),68.85,Outros
Salário mensal - Analista de TI,7477.34,Receitas
Débito - Extra,185.38,Alimentação
Salário mensal - Analista de TI,8161.71,Receitas
Compra em Correios (via cartão),77.85,Serviços
Salário mensal - Analista de TI,7675.76,Receitas
Débito - 99 (unidade próxima),43.9,Transporte
Despesa - C&C Casa e Construção (unidade próxima),899.66,Moradia
Compra online - Açougue Central (unidade próxima),662.77,Alimentação
Compra online - InDriver (unidade próxima),77.63,Transporte
13º salário - primeira parcela,1464.85,Receitas
Despesa - iFood (pedido via app),403.55,Alimentação
Débito - Sympla - Evento (parcelado em 2x),954.07,Lazer
Consumo em Restaurante Prato Feito (unidade próxima),186.97,Alimentação
Consumo em Bilhete Único (compra à vista),95.3,Transporte
Consumo em IPVA (compra do mês),4601.14,Impostos
Bonificação por desempenho,5667.09,Receitas
Compra em Rappi (unidade próxima),889.69,Alimentação
Pagamento de conta - Açougue Central (via cartão),395.25,Alimentação
Transação - Padaria Pão Quente (unidade próxima),398.01,Alimentação
Recebimento de dividendos,3769.15,Receitas
Serviço prestado - Farmácia São João (uso pessoal),294.14,Saúde
Débito - Correios (loja shopping),325.82,Serviços
Consumo em Farmácia São João (parcelado em 6x),1947.82,Saúde
Pagamento de conta - Shopee (pedido via app),353.87,Compras
Despesa - VLT (pedido via app),445.05,Transporte
Compra em Starbucks (unidade próxima),467.26,Alimentação
Débito - Zona Azul (uso pessoal),475.72,Transporte
Serviço prestado - UCI Cinemas (unidade próxima),35.91,Lazer
Débito - Comgás (loja shopping),2406.15,Moradia
Pagamento de salário - Agosto,22220.76,Receitas
Consumo em InDriver (unidade centro),35.16,Transporte
Pagamento de fatura - Padaria Pão Quente (via cartão),376.5,Alimentação
Débito - Oi Fibra (loja shopping),4878.35,Moradia
Transação - Fundo Imobiliário - Aporte (compra do mês),3766.61,Investimentos
Pagamento de salário - Setembro,21039.07,Receitas
Cobrança recorrente - Bradesco Seguros (renovação do plano),44.57,Serviços
Salário mensal - Empresário,21698.92,Receitas
Despesa - Uber Eats (unidade centro),50.5,Alimentação
Serviço prestado - QuintoAndar - Aluguel (uso pessoal),566.38,Moradia
Débito - CPFL Energia (uso pessoal),3002.98,Moradia
13º salário - segunda parcela,11797.63,Receitas
Transação - Oi Fibra (loja shopping),3336.1,Moradia
Despesa - Ultragaz (unidade próxima),2721.9,Moradia
Depósito de salário,22816.03,Receitas
Pagamento - 99,66.65,Transporte
13º salário - primeira parcela,2673.74,Receitas
Pagamento - Bob's (compra do mês),681.84,Alimentação
Pagamento de fatura - Amazon (compra do mês),1281.98,Compras
Consumo em Restaurante Cantina Italiana (unidade centro),553.68,Alimentação
Transação - Açougue Casa da Carne (via cartão),485.52,Alimentação
Despesa - Neoenergia (compra do mês),2095.84,Moradia
Serviço prestado - Fast Shop (unidade próxima),383.88,Compras
Pagamento - Padaria Pão Quente (compra à vista),94.49,Alimentação
Pagamento de conta - Ultragaz (pedido via app),239.85,Moradia
PIX - recebimento,533.73,Receitas
Compra online - Rappi (unidade centro),111.7,Alimentação
Restituição de Imposto de Renda,1487.71,Receitas
Compra em McDonald's (compra do mês),800.45,Alimentação
Despesa - Americanas (loja shopping),584.87,Compras
Freelance - projeto 27,6920.64,Receitas
Pagamento de fatura - Restaurante Cantina Italiana (loja shopping),880.75,Alimentação
Transação - Despachante Rápido (unidade próxima),931.5,Outros
Pagamento de fatura - Pizzaria Forno a Lenha (pedido via app),720.63,Alimentação
Compra em NuInvest - Aporte (via cartão),2327.1,Investimentos
Pagamento - Despachante Rápido,207.91,Outros
Renovação de assinatura - SulAmérica Seguros (plano mensal),373.46,Serviços
Serviço prestado - Fast Shop (via cartão),541.98,Compras
Pagamento de fatura - Riachuelo (unidade centro),1076.8,Compras
Transação - Estapar Estacionamento (compra do mês),291.95,Transporte
Pagamento de conta - Restaurante Sabor Caseiro (compra do mês),814.8,Alimentação
Mensalidade - Bradesco Saúde,136.64,Saúde
Salário mensal - Empresário,22143.39,Receitas
Assinatura mensal - Google One (via cartão cadastrado),167.18,Serviços
Pagamento de salário - Julho,6212.12,Receitas
Consumo em Borracharia Central (loja shopping),353.91,Transporte
Despesa - Sympla - Evento (pedido via app),1230.13,Lazer
Freelance - projeto 52,2794.25,Receitas
Depósito de salário,6394.9,Receitas
