usuario_id,idade,sexo,estado_civil,dependentes,cidade,estado,profissao,escolaridade,renda_mensal_x,outras_rendas,nivel_endividamento,score_credito,saldo_medio_conta,limite_cartao,frequencia_poupanca,percentual_renda_investida,tempo_emprego_anos,possui_financiamento,possui_imovel,possui_veiculo,perfil_financeiro,gasto_total,receita_total,numero_transacoes,ticket_medio,maior_despesa,menor_despesa,saldo,renda_mensal_y,razao_gasto_renda,gasto_alimentação,gasto_compras,gasto_educação,gasto_impostos,gasto_investimentos,gasto_lazer,gasto_moradia,gasto_outros,gasto_pets,gasto_saúde,gasto_serviços,gasto_transporte,perc_total,perc_alimentação,perc_compras,perc_educação,perc_impostos,perc_investimentos,perc_lazer,perc_moradia,perc_outros,perc_pets,perc_saúde,perc_serviços,perc_transporte,qtd_recorrentes,qtd_parceladas,perc_boleto,perc_cartão de crédito,perc_cartão de débito,perc_dinheiro,perc_débito automático,perc_pix,perc_transferência bancária
1,40,Masculino,Divorciado,2,Belo Horizonte,MG,Analista de TI,Médio,9214.53,1013.56,27.98,562,3401.85,6849.44,Sempre,7.9,0.9,0,0,0,Em observação,32554.54,38871.09,44,856.6984210526316,3992.34,18.26,6316.549999999996,9214.53,3.5329571882667916,4739.57,2515.58,0.0,2787.53,910.31,4245.62,10235.24,0.0,0.0,4543.25,919.0799999999999,1658.36,1.0,0.14558860300283769,0.0772727859155743,0.0,0.08562645947385526,0.027962612895159937,0.13041560409085798,0.3144028451945566,0.0,0.0,0.13955810771708033,0.028232006964312807,0.0509409747457651,7,3,0.09090909090909091,0.29545454545454547,0.22727272727272727,0.022727272727272728,0.022727272727272728,0.20454545454545456,0.13636363636363635
2,41,Masculino,Solteiro,2,Duque de Caxias,RJ,Recepcionista,Fundamental,1812.22,0.0,59.68,397,299.94,1343.19,Nunca,1.35,0.5,0,0,1,Em risco,29777.21,8286.16,33,1063.4717857142857,4580.12,14.56,-21491.05,1812.22,16.431343876571276,2430.11,5415.849999999999,4708.76,3310.95,0.0,5915.469999999999,6461.76,757.38,0.0,348.56,396.68,31.689999999999998,1.0,0.08160972770786787,0.18187902761877286,0.15813301514816197,0.11119073949507022,0.0,0.1986576311212501,0.21700354062721122,0.025434887956259165,0.0,0.011705596326855337,0.013321597288664722,0.0010642367098865205,7,1,0.15151515151515152,0.3939393939393939,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.12121212121212122
3,40,Feminino,Casado,0,Guarulhos,SP,Analista de TI,Superior,7668.81,691.22,35.69,550,3406.79,11308.24,Às vezes,9.13,0.6,1,0,1,Em observação,48027.840000000004,45707.38,54,1067.2853333333335,5962.67,67.11,-2320.4600000000064,7668.81,6.262750022493711,5400.1900000000005,6727.96,0.0,0.0,0.0,3502.31,23961.17,0.0,0.0,5465.49,2389.2,581.52,1.0,0.11243874386189344,0.14008458427445414,0.0,0.0,0.0,0.07292249661862786,0.49890167869302465,0.0,0.0,0.11379837194427231,0.049746147234603924,0.012107977373123587,12,0,0.07407407407407407,0.24074074074074073,0.16666666666666666,0.12962962962962962,0.07407407407407407,0.16666666666666666,0.14814814814814814
4,38,Masculino,Divorciado,4,Cuiabá,MT,Analista de TI,Superior,7828.2,0.0,49.59,558,2848.93,9317.56,Frequentemente,10.23,16.1,0,0,1,Em observação,12861.67,34215.9,25,676.93,4601.14,43.9,21354.230000000003,7828.2,1.642992003270228,3121.62,353.87,0.0,4601.14,0.0,954.07,899.66,68.85,0.0,2241.96,403.66999999999996,216.82999999999998,1.0,0.24270720676241886,0.027513534401053672,0.0,0.35774048004652587,0.0,0.0741793250798691,0.06994892576158461,0.005353115108691173,0.0,0.17431328902078813,0.03138550437073879,0.016858619448329802,3,2,0.04,0.28,0.2,0.0,0.08,0.16,0.24
5,27,Feminino,Solteiro,0,Maceió,AL,Empresário,Superior,21743.69,0.0,17.56,700,45557.9,35583.72,Sempre,12.76,0.9,0,1,0,Saudável,38460.590000000004,133331.62,49,986.1689743589744,4878.35,35.16,94871.03,21743.69,1.7688161485010137,6038.12,3869.51,0.0,0.0,6093.71,35.91,19247.55,1139.41,0.0,136.64,585.21,1314.53,1.0,0.1569949914964903,0.10060974103621395,0.0,0.0,0.15844036713945364,0.000933683024623387,0.5004486410634885,0.02962539056213126,0.0,0.0035527276102628683,0.015215835222496586,0.03417862284483935,14,0,0.04081632653061224,0.1836734693877551,0.14285714285714285,0.0,0.10204081632653061,0.3469387755102041,0.1836734693877551
6,37,Masculino,Solteiro,4,São Paulo,SP,Jornalista,Pós-graduação,6253.23,2081.2,16.72,935,10805.05,10388.74,Às vezes,29.73,3.7,0,0,1,Saudável,35611.37,59252.56,56,828.1713953488372,4988.2,18.97,23641.189999999995,6253.23,5.694876088037703,3456.31,2794.6400000000003,3393.19,0.0,10694.31,5540.0599999999995,5011.05,0.0,0.0,2539.63,935.75,1246.43,1.0,0.09705636149353422,0.07847605975282614,0.09528389387996024,0.0,0.3003060539372677,0.1555699766675643,0.14071488965462434,0.0,0.0,0.07131514457320794,0.026276720047557843,0.035000899993457145,13,0,0.017857142857142856,0.10714285714285714,0.19642857142857142,0.03571428571428571,0.10714285714285714,0.30357142857142855,0.23214285714285715
7,55,Masculino,Solteiro,2,Juiz de Fora,MG,Engenheiro de Produção,Superior,12094.59,1416.82,8.0,1000,22691.74,16726.5,Sempre,25.63,4.5,0,0,0,Saudável,55551.88,72523.47,48,1388.797,4831.76,15.98,16971.590000000004,12094.59,4.593118080067203,2335.75,3846.74,3812.57,1100.04,17027.85,4632.32,15045.52,0.0,0.0,4860.57,1159.1399999999999,1731.38,1.0,0.0420462817820027,0.06924590130883058,0.06863080061376861,0.01980203010231157,0.3065215794676976,0.08338727690223985,0.2708372785943518,0.0,0.0,0.08749604873858455,0.020865900487976284,0.03116690200223647,14,0,0.10416666666666667,0.1875,0.1875,0.020833333333333332,0.16666666666666666,0.20833333333333334,0.125
8,41,Masculino,Casado,0,Anápolis,GO,Médico,Pós-graduação,14309.89,0.0,79.01,324,1872.52,7113.63,Nunca,0.22,5.5,1,0,1,Em risco,40994.2,64585.64,48,1024.855,4509.68,80.73,23591.440000000002,14309.89,2.864745990360513,3573.18,18158.77,2626.11,0.0,0.0,1952.39,8888.99,497.52,909.4,2162.85,762.8699999999999,1462.12,1.0,0.08716306209171054,0.44295949183055167,0.06406052563533379,0.0,0.0,0.04762600563006475,0.2168353084094823,0.012136350995994557,0.022183625976357632,0.05275990262037069,0.018609217889359958,0.03566650892077416,8,4,0.1875,0.2916666666666667,0.10416666666666667,0.020833333333333332,0.125,0.14583333333333334,0.125
9,68,Masculino,Solteiro,2,Salvador,BA,Gerente Comercial,Superior,11927.26,0.0,35.22,625,6423.84,14602.51,Frequentemente,4.92,24.8,0,0,1,Em observação,30625.55,79938.42,48,785.2705128205127,4114.51,13.55,49312.869999999995,11927.26,2.5676936697950743,6212.21,1286.17,4398.4400000000005,124.78,3201.31,1682.24,10754.58,178.59,0.0,934.06,793.03,1060.1399999999999,1.0,0.20284403055618594,0.04199663352984682,0.1436199513151601,0.004074375807128362,0.10453069414263581,0.05492929922891181,0.3511636525711375,0.0058314054767996,0.0,0.030499370623547985,0.025894392100713294,0.03461619464793285,11,1,0.125,0.3125,0.125,0.0,0.0,0.2916666666666667,0.14583333333333334
10,50,Masculino,Solteiro,3,Belo Horizonte,MG,Cabeleireiro,Médio,4618.06,0.0,53.79,567,2350.27,3125.67,Frequentemente,3.5,16.7,0,1,1,Em observação,35475.45,32731.22,50,844.6535714285714,4982.82,11.49,-2744.229999999996,4618.06,7.6818945617856835,7273.55,1166.96,6352.46,4365.280000000001,2180.76,795.13,8970.73,739.9,396.37,1355.19,780.38,1098.74,1.0,0.20503052110684997,0.03289486109408056,0.17906636843225388,0.12305072944811132,0.06147237032934044,0.02241352822867645,0.2528714928210918,0.020856676941377772,0.01117307884748467,0.03820078392240268,0.021997747738224604,0.030971841090105978,12,0,0.1,0.16,0.16,0.1,0.02,0.32,0.14
11,40,Masculino,Solteiro,1,Palmas,TO,Motoboy,Médio,3367.48,0.0,12.33,802,7658.53,7686.38,Sempre,21.31,14.6,0,0,1,Saudável,37014.54,23241.75,36,1233.818,4580.27,50.29,-13772.79,3367.48,10.991762386116621,3613.9300000000003,3612.3599999999997,6973.58,0.0,10361.22,226.88,8036.280000000001,1210.1399999999999,132.36,916.69,974.93,956.17,1.0,0.09763541570420706,0.09759299994002356,0.18840109859530876,0.0,0.2799229708109299,0.006129483170667527,0.21711143782956646,0.032693638770061706,0.0035758920683601637,0.024765673165194003,0.026339108901528966,0.025832281044151837,7,0,0.027777777777777776,0.2222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.3055555555555556,0.16666666666666666
12,40,Feminino,Solteiro,2,Guarulhos,SP,Recepcionista,Médio,1570.72,0.0,79.9,300,165.29,285.9,Às vezes,1.57,14.8,0,0,0,Em risco,25398.71,18841.760000000002,28,1209.462380952381,5418.51,15.48,-6556.949999999997,1570.72,16.170106702658654,2239.79,2182.3399999999997,0.0,0.0,1688.01,2465.8,14150.6,0.0,471.32,1161.09,838.76,201.0,1.0,0.08818518735794062,0.0859232614569795,0.0,0.0,0.06646046196834407,0.09708367078485483,0.5571385318388218,0.0,0.01855684796590063,0.045714526446421884,0.033023724433248774,0.007913787747487962,6,3,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.0,0.10714285714285714,0.14285714285714285,0.25
13,36,Masculino,Casado,1,Niterói,RJ,Veterinário,Superior,4267.14,0.0,55.0,332,634.53,2712.1,Nunca,0.66,8.1,1,0,0,Em risco,22860.510000000002,27659.37,34,846.6855555555557,3762.16,19.99,4798.859999999997,4267.14,5.357337701598729,186.99,5675.97,3100.57,0.0,0.0,2761.5,8851.39,289.25,0.0,1167.89,806.96,19.99,1.0,0.008179607541564033,0.24828711170485696,0.13562995751188403,0.0,0.0,0.12079782996967259,0.387191274385392,0.012652823580926233,0.0,0.051087661648843354,0.035299299971872894,0.0008744336849877801,9,5,0.058823529411764705,0.5,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.14705882352941177,0.14705882352941177
14,35,Masculino,Casado,1,Feira de Santana,BA,Aposentado,Médio,5144.59,680.45,3.97,825,13206.26,8539.55,Frequentemente,21.46,11.7,1,0,0,Saudável,47649.67,45700.31,49,1323.6019444444444,5472.35,48.08,-1949.3600000000006,5144.59,9.262092800398088,1479.0100000000002,3103.63,1095.07,0.0,12643.08,3187.93,23000.63,796.17,48.08,0.0,1422.25,873.8199999999999,1.0,0.031039249589766314,0.06513434405736704,0.022981691163863255,0.0,0.2653340516314174,0.06690350636216368,0.48270281829863676,0.01670882505587132,0.0010090311223561463,0.0,0.029848055610878315,0.018338427107679862,13,0,0.061224489795918366,0.14285714285714285,0.16326530612244897,0.0,0.12244897959183673,0.2857142857142857,0.22448979591836735
