Feature,Importancia
remainder__nivel_endividamento,0.21849666204228388
remainder__score_credito,0.1870773211520918
remainder__percentual_renda_investida,0.17101216062224803
remainder__saldo_medio_conta,0.09542816132054564
remainder__limite_cartao,0.043473710304203175
remainder__perc_cartão de crédito,0.035086337600323925
remainder__perc_investimentos,0.03297582830785107
remainder__gasto_investimentos,0.03145493662825273
remainder__qtd_parceladas,0.019932869436741184
remainder__perc_pix,0.015487164908505097
cat__frequencia_poupanca_Sempre,0.014849309096925542
cat__frequencia_poupanca_Nunca,0.013587044026039278
remainder__perc_compras,0.012507184349466342
remainder__gasto_compras,0.012016988445560262
remainder__perc_cartão de débito,0.009458878697769497
cat__frequencia_poupanca_Frequentemente,0.0057253878474182
remainder__outras_rendas,0.005577288540841203
remainder__renda_mensal_y,0.004670166337196811
remainder__renda_mensal_x,0.004530146168876938
cat__frequencia_poupanca_Raramente,0.003695242263795381
remainder__razao_gasto_renda,0.0035877892075560263
remainder__gasto_lazer,0.0030362894380508046
remainder__perc_boleto,0.0029245061011002227
remainder__perc_alimentação,0.0024770649798507203
remainder__tempo_emprego_anos,0.00242791941228968
remainder__perc_débito automático,0.0022367181476394314
remainder__perc_lazer,0.0021432606268654048
remainder__gasto_total,0.0020857069629594076
remainder__receita_total,0.002025582331425236
remainder__saldo,0.0019195470870670057
cat__frequencia_poupanca_Às vezes,0.0019133748017747473
remainder__possui_financiamento,0.0018592629321921132
remainder__ticket_medio,0.0018590163274362925
remainder__menor_despesa,0.0017325947771423967
remainder__perc_transferência bancária,0.0017087324184768553
remainder__gasto_alimentação,0.0015580639474046492
remainder__perc_moradia,0.0015420636012537692
remainder__maior_despesa,0.0015064029239160038
remainder__gasto_moradia,0.0014938343661149395
remainder__perc_impostos,0.001456905041409994
remainder__perc_transporte,0.0014501595193138171
remainder__gasto_educação,0.001393789502175447
remainder__gasto_serviços,0.001350090834114163
remainder__gasto_saúde,0.001281231674216189
remainder__gasto_transporte,0.001236781233932013
remainder__perc_serviços,0.0012325873393580595
remainder__perc_saúde,0.0012268062655784548
remainder__qtd_recorrentes,0.0011496426558513376
remainder__numero_transacoes,0.0010870648793724
remainder__gasto_impostos,0.0010486353217913434
remainder__perc_educação,0.0010292762143049405
remainder__idade,0.0010277600123133942
remainder__perc_dinheiro,0.0009069271069748121
remainder__perc_pets,0.0008756318558168935
remainder__perc_outros,0.0007602211296896543
remainder__possui_veiculo,0.0007025921461997767
remainder__dependentes,0.0006751820144097392
remainder__gasto_outros,0.0006256073381047181
remainder__possui_imovel,0.00045210301838369884
remainder__gasto_pets,0.0003927435689810473
cat__escolaridade_Médio,0.0002985442577304707
cat__escolaridade_Superior,0.00028731102973371966
cat__estado_civil_União Estável,0.00021620656127664404
cat__sexo_Feminino,0.00019883711912653125
cat__estado_civil_Casado,0.00016915200466692873
cat__estado_civil_Solteiro,0.0001325219411987136
cat__sexo_Masculino,9.689143939435665e-05
cat__escolaridade_Pós-graduação,7.187213573540515e-05
cat__estado_civil_Divorciado,5.113065100836525e-05
cat__escolaridade_Fundamental,3.34712098328429e-05
cat__estado_civil_Viúvo,1.80449055240134e-06
cat__sexo_Outro,0.0
remainder__perc_total,0.0
